Grasp ID,Translation,Quaternion
1,"-0.12057669,-0.10457218,0.441","-0.09686360995848403,0.047792328947493704,0.8915362496455103,0.43988231372448205"
2,"0.010898141,-0.1093887,0.449","-0.42222518971781414,-0.007696180052393258,0.016519875094273075,0.9063077577220812"
3,"0.034482364,-0.07724096,0.446","-0.0651664023105769,-0.11868730350415332,0.868491415985875,0.4768535669947946"
4,"-0.013463777,-0.09228078,0.451","-0.31056151757796085,0.2742593769845694,-0.6024501116718018,0.6821929352333863"
5,"-0.013642895,-0.08162229,0.457","0.3459110242298125,-0.3493024928286498,0.6187616631560121,-0.6127538951556154"
6,"0.014268601,-0.094094455,0.448","-0.025623772040189362,0.06590464612322285,0.3614678624504284,0.9296994053678443"
7,"-0.0051298672,-0.10089151,0.448","-0.392615196451526,0.18489629246707542,-0.3838428351625967,0.8150652406044554"
8,"0.13144062,0.08220855,0.433","-0.262321140731676,-0.49617297881699374,0.7316832429012836,0.3868328143714861"
9,"0.14087118,0.04607616,0.442","0.7378394606550387,0.15468109935412452,-0.6430349617370288,0.1348062527731521"
10,"-0.09076504,-0.068694584,0.447","0.1863598657942584,-0.01643163245515211,-0.33660677372369485,0.922873708456"
11,"-0.06837311,-0.08392268,0.443","-0.2126553485415762,-0.09888230633492696,0.409876574278364,0.8814767076266844"
12,"0.07110092,0.007676105,0.412","-0.025623772040189362,0.06590464612322285,0.3614678624504284,0.9296994053678443"
13,"0.14815412,0.0014460005,0.418","-0.4299759486236058,0.010985314260450121,0.9024790172476098,0.023057100936978134"
14,"-0.07643048,-0.07190639,0.485","-0.49551233508590314,-0.485936429796837,0.5040930562688379,0.5140267528014095"
15,"-0.08132094,-0.071440466,0.443","0.3201614856482752,-0.04996619899374737,-0.3828340981358385,0.865123144627472"
16,"0.046985164,-0.07589711,0.441","-0.09531064639749195,-0.22930884994918707,0.8944872402987822,0.3717874513225831"
17,"0.13476177,-0.056237336,0.452","-0.44779020686526994,-0.19446665203560407,0.34764436366678797,0.8005061200842478"
18,"0.1477446,0.028899468,0.422","-0.511751854665853,-0.09887726073271084,0.8379272789649589,-0.1618987391008192"
19,"0.11117935,0.09641208,0.44","-0.5414983045214105,-0.3895890050214325,0.6047328651049764,-0.4350840783443752"
20,"-0.024365384,-0.08797456,0.454","0.3459110242298125,-0.3493024928286498,0.6187616631560121,-0.6127538951556154"
21,"-0.1223582,-0.11971862,0.444","-0.3040002954127566,0.2931162940412421,0.6525377194773142,0.6291750020589111"
22,"0.06952949,0.07829293,0.427","0.12071634333186891,0.5295541281193455,-0.39213754808984985,0.74244739424583"
23,"0.12579171,0.07700506,0.425","-0.27482446002147065,-0.3551593529948938,0.82408492295967,0.3452787133674913"
24,"0.08051553,0.082797304,0.424","0.372827551823646,0.30983804645694835,-0.5050667709199972,0.7140781179124422"
25,"0.040575948,-0.059091337,0.444","0.3201614856482752,-0.04996619899374737,-0.3828340981358385,0.865123144627472"
26,"0.08653948,0.060070455,0.407","0.01463580658505558,-0.2268313482031394,0.9718032725441229,-0.0627035255028305"
27,"0.08616346,0.07709572,0.418","0.2943565859113886,0.2799182020621162,-0.4766372190032102,0.7796261680740261"
28,"-0.120140955,-0.19291131,0.492","0.12261795327870603,0.29433229376191544,0.5754572501807012,0.7531150586710217"
29,"0.14341678,0.06891197,0.441","-0.6796850623847069,-0.1906870823188399,0.681954441830773,-0.19132378805340391"
30,"-0.10913479,-0.11416804,0.443","-0.3231497086149912,0.217349802026161,0.7642614718388504,0.5140405937705204"
31,"0.012273716,-0.048724115,0.446","0.25530164063319033,0.31594472791316663,-0.5743212169390878,0.7107426685991786"
32,"0.15586829,0.0024082528,0.428","-0.5028203660656417,0.046601286562705256,0.8594505761675096,0.07965366711991743"
33,"0.1514961,0.012406222,0.421","-0.4762108732115297,-0.03945308367521291,0.8754462916936907,-0.07252895134630352"
34,"0.15678062,-0.025008915,0.437","-0.4924359710520667,0.11183387646648338,0.8624947433315633,-0.03320867678647049"
35,"0.074128374,0.08635959,0.435","0.24739759391166352,0.5511754895294172,-0.3263141387496726,0.7269931864335363"
36,"0.09521319,0.08253163,0.418","-0.24724503186028085,-0.2460418082347641,0.6643109277406708,-0.6610781452334553"
37,"0.03641355,-0.09802442,0.446","-0.24725470185321222,0.14328915646160914,0.8291293996907605,0.48049741791235345"
38,"0.13801417,-0.050338138,0.439","-0.42687815476173907,0.2368721080185902,0.8467167012173294,0.21151234788939824"
39,"0.100883804,0.0082606,0.419","-0.10594119797713977,-0.021050631137859765,0.4395198689884568,0.8917149871255031"
40,"0.09876611,0.096371315,0.442","0.6589972926455231,0.23249920303579028,-0.3087006448865852,0.6452678519190302"
41,"0.045717265,-0.005604812,0.438","0.040022156511461,0.5568347281933838,-0.05947773088562309,0.8275238437620211"
42,"0.13613275,0.03695538,0.42","-0.511751854665853,-0.09887726073271084,0.8379272789649589,-0.1618987391008192"
43,"0.14230064,0.036817454,0.429","-0.5800353617217086,-0.07228867421146418,0.8051486687478828,-0.10034414754547213"
44,"-0.086310826,-0.059572507,0.444","0.3201614856482752,-0.04996619899374737,-0.3828340981358385,0.865123144627472"
45,"-0.1915379,-0.11476856,0.484","-0.2548829272102854,0.005889849229836826,-0.022338465146128497,0.9666959170637276"
46,"0.1257437,-0.049049143,0.436","-0.2825158114743169,0.339388890468636,0.8934895371553839,0.08170951160871216"
47,"0.1190594,0.08898306,0.434","-0.5056452949845816,-0.1807101620476977,0.6938471045837982,-0.47983629338903705"
48,"0.055891886,0.054900676,0.436","-0.2310437971166776,0.6096054347389565,-0.31135870125407655,0.6914157482325739"
49,"0.028336747,-0.18755573,0.481","-0.20152318884263581,-0.17622446687526966,0.6342487353689619,0.7253012362571121"
50,"0.049653634,0.0130457785,0.427","-0.07853649109794564,0.4569814334471684,0.15006768470946372,0.8732008240127436"
